id,Scope,Level 1,Level 2,Level 3,Level 4,Column Text,UOM (simple),UOM,GHG,Lookup,GHG Conversion Factor 2020
0,Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,CNG kWh (Gross CV),0.18387
1,Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,CNG kWh (Gross CV),0.00025
2,Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,CNG kWh (Gross CV),0.18352
3,Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,CNG kWh (Gross CV),0.0001
4,Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,CNG kWh (Net CV),0.20374
5,Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Net CV,kWh,kWh (Net CV),kg CH4,CNG kWh (Net CV),0.00027
6,Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Net CV,kWh,kWh (Net CV),kg CO2,CNG kWh (Net CV),0.20336
7,Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Net CV,kWh,kWh (Net CV),kg N2O,CNG kWh (Net CV),0.00011
8,Scope 1,Fuels,Gaseous fuels,CNG,,Volume,litres,litres,kg CO2e,CNG litres,0.44327
9,Scope 1,Fuels,Gaseous fuels,CNG,,Volume,litres,litres,kg CH4,CNG litres,0.00059
10,Scope 1,Fuels,Gaseous fuels,CNG,,Volume,litres,litres,kg CO2,CNG litres,0.44245
11,Scope 1,Fuels,Gaseous fuels,CNG,,Volume,litres,litres,kg N2O,CNG litres,0.00023
12,Scope 1,Fuels,Gaseous fuels,CNG,,Tonnes,tonnes,tonnes,kg CO2e,CNG tonnes,2533
13,Scope 1,Fuels,Gaseous fuels,CNG,,Tonnes,tonnes,tonnes,kg CH4,CNG tonnes,3.4
14,Scope 1,Fuels,Gaseous fuels,CNG,,Tonnes,tonnes,tonnes,kg CO2,CNG tonnes,2528.26
15,Scope 1,Fuels,Gaseous fuels,CNG,,Tonnes,tonnes,tonnes,kg N2O,CNG tonnes,1.33
16,Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,LNG kWh (Gross CV),0.18455
17,Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,LNG kWh (Gross CV),0.00025
18,Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,LNG kWh (Gross CV),0.18421
19,Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,LNG kWh (Gross CV),0.0001
20,Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,LNG kWh (Net CV),0.20449
21,Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Net CV,kWh,kWh (Net CV),kg CH4,LNG kWh (Net CV),0.00027
22,Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Net CV,kWh,kWh (Net CV),kg CO2,LNG kWh (Net CV),0.20411
23,Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Net CV,kWh,kWh (Net CV),kg N2O,LNG kWh (Net CV),0.00011
24,Scope 1,Fuels,Gaseous fuels,LNG,,Volume,litres,litres,kg CO2e,LNG litres,1.15041
25,Scope 1,Fuels,Gaseous fuels,LNG,,Volume,litres,litres,kg CH4,LNG litres,0.00154
26,Scope 1,Fuels,Gaseous fuels,LNG,,Volume,litres,litres,kg CO2,LNG litres,1.14827
27,Scope 1,Fuels,Gaseous fuels,LNG,,Volume,litres,litres,kg N2O,LNG litres,0.0006
28,Scope 1,Fuels,Gaseous fuels,LNG,,Tonnes,tonnes,tonnes,kg CO2e,LNG tonnes,2542.41
29,Scope 1,Fuels,Gaseous fuels,LNG,,Tonnes,tonnes,tonnes,kg CH4,LNG tonnes,3.4
30,Scope 1,Fuels,Gaseous fuels,LNG,,Tonnes,tonnes,tonnes,kg CO2,LNG tonnes,2537.68
31,Scope 1,Fuels,Gaseous fuels,LNG,,Tonnes,tonnes,tonnes,kg N2O,LNG tonnes,1.33
32,Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,LPG kWh (Gross CV),0.21448
33,Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,LPG kWh (Gross CV),0.00016
34,Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,LPG kWh (Gross CV),0.21419
35,Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,LPG kWh (Gross CV),0.00014
36,Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,LPG kWh (Net CV),0.2303
