id,Scope,Level 1,Level 2,Level 3,Level 4,Column Text,UOM (simple),UOM,GHG,Lookup,GHG Conversion Factor 2020
37,Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Net CV,kWh,kWh (Net CV),kg CH4,LPG kWh (Net CV),0.00017
38,Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Net CV,kWh,kWh (Net CV),kg CO2,LPG kWh (Net CV),0.22999
39,Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Net CV,kWh,kWh (Net CV),kg N2O,LPG kWh (Net CV),0.00015
40,Scope 1,Fuels,Gaseous fuels,LPG,,Volume,litres,litres,kg CO2e,LPG litres,1.55537
41,Scope 1,Fuels,Gaseous fuels,LPG,,Volume,litres,litres,kg CH4,LPG litres,0.00113
42,Scope 1,Fuels,Gaseous fuels,LPG,,Volume,litres,litres,kg CO2,LPG litres,1.55325
43,Scope 1,Fuels,Gaseous fuels,LPG,,Volume,litres,litres,kg N2O,LPG litres,0.00099
44,Scope 1,Fuels,Gaseous fuels,LPG,,Tonnes,tonnes,tonnes,kg CO2e,LPG tonnes,2938.81
45,Scope 1,Fuels,Gaseous fuels,LPG,,Tonnes,tonnes,tonnes,kg CH4,LPG tonnes,2.14
46,Scope 1,Fuels,Gaseous fuels,LPG,,Tonnes,tonnes,tonnes,kg CO2,LPG tonnes,2934.82
47,Scope 1,Fuels,Gaseous fuels,LPG,,Tonnes,tonnes,tonnes,kg N2O,LPG tonnes,1.86
48,Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Natural gas kWh (Gross CV),0.18387
49,Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,Natural gas kWh (Gross CV),0.00025
50,Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,Natural gas kWh (Gross CV),0.18352
51,Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,Natural gas kWh (Gross CV),0.0001
52,Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Natural gas kWh (Net CV),0.20374
53,Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Net CV,kWh,kWh (Net CV),kg CH4,Natural gas kWh (Net CV),0.00027
54,Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Net CV,kWh,kWh (Net CV),kg CO2,Natural gas kWh (Net CV),0.20336
55,Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Net CV,kWh,kWh (Net CV),kg N2O,Natural gas kWh (Net CV),0.00011
56,Scope 1,Fuels,Gaseous fuels,Natural gas,,Volume,cubic metres,cubic metres,kg CO2e,Natural gas cubic metres,2.02266
57,Scope 1,Fuels,Gaseous fuels,Natural gas,,Volume,cubic metres,cubic metres,kg CH4,Natural gas cubic metres,0.00271
58,Scope 1,Fuels,Gaseous fuels,Natural gas,,Volume,cubic metres,cubic metres,kg CO2,Natural gas cubic metres,2.01888
59,Scope 1,Fuels,Gaseous fuels,Natural gas,,Volume,cubic metres,cubic metres,kg N2O,Natural gas cubic metres,0.00107
60,Scope 1,Fuels,Gaseous fuels,Natural gas,,Tonnes,tonnes,tonnes,kg CO2e,Natural gas tonnes,2533
61,Scope 1,Fuels,Gaseous fuels,Natural gas,,Tonnes,tonnes,tonnes,kg CH4,Natural gas tonnes,3.4
62,Scope 1,Fuels,Gaseous fuels,Natural gas,,Tonnes,tonnes,tonnes,kg CO2,Natural gas tonnes,2528.26
63,Scope 1,Fuels,Gaseous fuels,Natural gas,,Tonnes,tonnes,tonnes,kg N2O,Natural gas tonnes,1.33
64,Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Other petroleum gas kWh (Gross CV),0.18486
65,Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,Other petroleum gas kWh (Gross CV),0.00008
66,Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,Other petroleum gas kWh (Gross CV),0.18468
67,Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,Other petroleum gas kWh (Gross CV),0.0001
68,Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Other petroleum gas kWh (Net CV),0.20094
69,Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Net CV,kWh,kWh (Net CV),kg CH4,Other petroleum gas kWh (Net CV),0.00009
70,Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Net CV,kWh,kWh (Net CV),kg CO2,Other petroleum gas kWh (Net CV),0.20074
71,Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Net CV,kWh,kWh (Net CV),kg N2O,Other petroleum gas kWh (Net CV),0.00011
72,Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Volume,litres,litres,kg CO2e,Other petroleum gas litres,0.95279
73,Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Volume,litres,litres,kg CH4,Other petroleum gas litres,0.00043
74,Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Volume,litres,litres,kg CO2,Other petroleum gas litres,0.95185
75,Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Volume,litres,litres,kg N2O,Other petroleum gas litres,0.00051
76,Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Tonnes,tonnes,tonnes,kg CO2e,Other petroleum gas tonnes,2601.11
77,Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Tonnes,tonnes,tonnes,kg CH4,Other petroleum gas tonnes,1.17
78,Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Tonnes,tonnes,tonnes,kg CO2,Other petroleum gas tonnes,2598.56
79,Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Tonnes,tonnes,tonnes,kg N2O,Other petroleum gas tonnes,1.39
80,Scope 1,Fuels,Liquid fuels,Aviation spirit,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Aviation spirit kWh (Gross CV),0.24514
81,Scope 1,Fuels,Liquid fuels,Aviation spirit,,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,Aviation spirit kWh (Gross CV),0.00466
82,Scope 1,Fuels,Liquid fuels,Aviation spirit,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,Aviation spirit kWh (Gross CV),0.23822
83,Scope 1,Fuels,Liquid fuels,Aviation spirit,,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,Aviation spirit kWh (Gross CV),0.00227
84,Scope 1,Fuels,Liquid fuels,Aviation spirit,,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Aviation spirit kWh (Net CV),0.25805
85,Scope 1,Fuels,Liquid fuels,Aviation spirit,,Energy - Net CV,kWh,kWh (Net CV),kg CH4,Aviation spirit kWh (Net CV),0.0049
86,Scope 1,Fuels,Liquid fuels,Aviation spirit,,Energy - Net CV,kWh,kWh (Net CV),kg CO2,Aviation spirit kWh (Net CV),0.25076
87,Scope 1,Fuels,Liquid fuels,Aviation spirit,,Energy - Net CV,kWh,kWh (Net CV),kg N2O,Aviation spirit kWh (Net CV),0.00239
88,Scope 1,Fuels,Liquid fuels,Aviation spirit,,Volume,litres,litres,kg CO2e,Aviation spirit litres,2.29082
89,Scope 1,Fuels,Liquid fuels,Aviation spirit,,Volume,litres,litres,kg CH4,Aviation spirit litres,0.04351
90,Scope 1,Fuels,Liquid fuels,Aviation spirit,,Volume,litres,litres,kg CO2,Aviation spirit litres,2.2261
91,Scope 1,Fuels,Liquid fuels,Aviation spirit,,Volume,litres,litres,kg N2O,Aviation spirit litres,0.02121
92,Scope 1,Fuels,Liquid fuels,Aviation spirit,,Tonnes,tonnes,tonnes,kg CO2e,Aviation spirit tonnes,3218.6
93,Scope 1,Fuels,Liquid fuels,Aviation spirit,,Tonnes,tonnes,tonnes,kg CH4,Aviation spirit tonnes,61.13
94,Scope 1,Fuels,Liquid fuels,Aviation spirit,,Tonnes,tonnes,tonnes,kg CO2,Aviation spirit tonnes,3127.67
95,Scope 1,Fuels,Liquid fuels,Aviation spirit,,Tonnes,tonnes,tonnes,kg N2O,Aviation spirit tonnes,29.8
96,Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Aviation turbine fuel kWh (Gross CV),0.24782
97,Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,Aviation turbine fuel kWh (Gross CV),0.00015
98,Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,Aviation turbine fuel kWh (Gross CV),0.24535
99,Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,Aviation turbine fuel kWh (Gross CV),0.00232
100,Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Aviation turbine fuel kWh (Net CV),0.26086
101,Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,Energy - Net CV,kWh,kWh (Net CV),kg CH4,Aviation turbine fuel kWh (Net CV),0.00016
102,Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,Energy - Net CV,kWh,kWh (Net CV),kg CO2,Aviation turbine fuel kWh (Net CV),0.25826
103,Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,Energy - Net CV,kWh,kWh (Net CV),kg N2O,Aviation turbine fuel kWh (Net CV),0.00244
104,Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,Volume,litres,litres,kg CO2e,Aviation turbine fuel litres,2.5431
105,Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,Volume,litres,litres,kg CH4,Aviation turbine fuel litres,0.00156
106,Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,Volume,litres,litres,kg CO2,Aviation turbine fuel litres,2.51772
107,Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,Volume,litres,litres,kg N2O,Aviation turbine fuel litres,0.02382
108,Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,Tonnes,tonnes,tonnes,kg CO2e,Aviation turbine fuel tonnes,3181.41
109,Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,Tonnes,tonnes,tonnes,kg CH4,Aviation turbine fuel tonnes,1.95
110,Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,Tonnes,tonnes,tonnes,kg CO2,Aviation turbine fuel tonnes,3149.67
111,Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,Tonnes,tonnes,tonnes,kg N2O,Aviation turbine fuel tonnes,29.8
112,Scope 1,Fuels,Liquid fuels,Burning oil,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Burning oil kWh (Gross CV),0.24666
113,Scope 1,Fuels,Liquid fuels,Burning oil,,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,Burning oil kWh (Gross CV),0.00061
114,Scope 1,Fuels,Liquid fuels,Burning oil,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,Burning oil kWh (Gross CV),0.24544
115,Scope 1,Fuels,Liquid fuels,Burning oil,,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,Burning oil kWh (Gross CV),0.00061
116,Scope 1,Fuels,Liquid fuels,Burning oil,,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Burning oil kWh (Net CV),0.25964
117,Scope 1,Fuels,Liquid fuels,Burning oil,,Energy - Net CV,kWh,kWh (Net CV),kg CH4,Burning oil kWh (Net CV),0.00064
118,Scope 1,Fuels,Liquid fuels,Burning oil,,Energy - Net CV,kWh,kWh (Net CV),kg CO2,Burning oil kWh (Net CV),0.25835
119,Scope 1,Fuels,Liquid fuels,Burning oil,,Energy - Net CV,kWh,kWh (Net CV),kg N2O,Burning oil kWh (Net CV),0.00064
120,Scope 1,Fuels,Liquid fuels,Burning oil,,Volume,litres,litres,kg CO2e,Burning oil litres,2.54039
121,Scope 1,Fuels,Liquid fuels,Burning oil,,Volume,litres,litres,kg CH4,Burning oil litres,0.00627
122,Scope 1,Fuels,Liquid fuels,Burning oil,,Volume,litres,litres,kg CO2,Burning oil litres,2.52782
123,Scope 1,Fuels,Liquid fuels,Burning oil,,Volume,litres,litres,kg N2O,Burning oil litres,0.0063
124,Scope 1,Fuels,Liquid fuels,Burning oil,,Tonnes,tonnes,tonnes,kg CO2e,Burning oil tonnes,3165.32
125,Scope 1,Fuels,Liquid fuels,Burning oil,,Tonnes,tonnes,tonnes,kg CH4,Burning oil tonnes,7.81
126,Scope 1,Fuels,Liquid fuels,Burning oil,,Tonnes,tonnes,tonnes,kg CO2,Burning oil tonnes,3149.67
127,Scope 1,Fuels,Liquid fuels,Burning oil,,Tonnes,tonnes,tonnes,kg N2O,Burning oil tonnes,7.85
128,Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Diesel (average biofuel blend) kWh (Gross CV),0.24057
129,Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,Diesel (average biofuel blend) kWh (Gross CV),0.00002
130,Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,Diesel (average biofuel blend) kWh (Gross CV),0.23724
131,Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,Diesel (average biofuel blend) kWh (Gross CV),0.00331
132,Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Diesel (average biofuel blend) kWh (Net CV),0.25568
133,Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,Energy - Net CV,kWh,kWh (Net CV),kg CH4,Diesel (average biofuel blend) kWh (Net CV),0.00003
134,Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,Energy - Net CV,kWh,kWh (Net CV),kg CO2,Diesel (average biofuel blend) kWh (Net CV),0.25214
135,Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,Energy - Net CV,kWh,kWh (Net CV),kg N2O,Diesel (average biofuel blend) kWh (Net CV),0.00352
136,Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,Volume,litres,litres,kg CO2e,Diesel (average biofuel blend) litres,2.54603
137,Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,Volume,litres,litres,kg CH4,Diesel (average biofuel blend) litres,0.00025
138,Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,Volume,litres,litres,kg CO2,Diesel (average biofuel blend) litres,2.51072
139,Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,Volume,litres,litres,kg N2O,Diesel (average biofuel blend) litres,0.03506
140,Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,Tonnes,tonnes,tonnes,kg CO2e,Diesel (average biofuel blend) tonnes,3028.61
141,Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,Tonnes,tonnes,tonnes,kg CH4,Diesel (average biofuel blend) tonnes,0.3
142,Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,Tonnes,tonnes,tonnes,kg CO2,Diesel (average biofuel blend) tonnes,2986.6
143,Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,Tonnes,tonnes,tonnes,kg N2O,Diesel (average biofuel blend) tonnes,41.71
144,Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Diesel (100% mineral diesel) kWh (Gross CV),0.25278
145,Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,Diesel (100% mineral diesel) kWh (Gross CV),0.00002
146,Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,Diesel (100% mineral diesel) kWh (Gross CV),0.24944
147,Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,Diesel (100% mineral diesel) kWh (Gross CV),0.00331
148,Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Diesel (100% mineral diesel) kWh (Net CV),0.26891
149,Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,Energy - Net CV,kWh,kWh (Net CV),kg CH4,Diesel (100% mineral diesel) kWh (Net CV),0.00003
150,Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,Energy - Net CV,kWh,kWh (Net CV),kg CO2,Diesel (100% mineral diesel) kWh (Net CV),0.26536
151,Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,Energy - Net CV,kWh,kWh (Net CV),kg N2O,Diesel (100% mineral diesel) kWh (Net CV),0.00352
152,Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,Volume,litres,litres,kg CO2e,Diesel (100% mineral diesel) litres,2.68787
153,Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,Volume,litres,litres,kg CH4,Diesel (100% mineral diesel) litres,0.00025
154,Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,Volume,litres,litres,kg CO2,Diesel (100% mineral diesel) litres,2.65242
155,Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,Volume,litres,litres,kg N2O,Diesel (100% mineral diesel) litres,0.0352
156,Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,Tonnes,tonnes,tonnes,kg CO2e,Diesel (100% mineral diesel) tonnes,3206.62
157,Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,Tonnes,tonnes,tonnes,kg CH4,Diesel (100% mineral diesel) tonnes,0.3
158,Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,Tonnes,tonnes,tonnes,kg CO2,Diesel (100% mineral diesel) tonnes,3164.33
159,Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,Tonnes,tonnes,tonnes,kg N2O,Diesel (100% mineral diesel) tonnes,41.99
160,Scope 1,Fuels,Liquid fuels,Fuel oil,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Fuel oil kWh (Gross CV),0.26775
161,Scope 1,Fuels,Liquid fuels,Fuel oil,,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,Fuel oil kWh (Gross CV),0.00035
162,Scope 1,Fuels,Liquid fuels,Fuel oil,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,Fuel oil kWh (Gross CV),0.26675
163,Scope 1,Fuels,Liquid fuels,Fuel oil,,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,Fuel oil kWh (Gross CV),0.00065
164,Scope 1,Fuels,Liquid fuels,Fuel oil,,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Fuel oil kWh (Net CV),0.28484
165,Scope 1,Fuels,Liquid fuels,Fuel oil,,Energy - Net CV,kWh,kWh (Net CV),kg CH4,Fuel oil kWh (Net CV),0.00037
166,Scope 1,Fuels,Liquid fuels,Fuel oil,,Energy - Net CV,kWh,kWh (Net CV),kg CO2,Fuel oil kWh (Net CV),0.28378
167,Scope 1,Fuels,Liquid fuels,Fuel oil,,Energy - Net CV,kWh,kWh (Net CV),kg N2O,Fuel oil kWh (Net CV),0.00069
168,Scope 1,Fuels,Liquid fuels,Fuel oil,,Volume,litres,litres,kg CO2e,Fuel oil litres,3.18317
169,Scope 1,Fuels,Liquid fuels,Fuel oil,,Volume,litres,litres,kg CH4,Fuel oil litres,0.00413
170,Scope 1,Fuels,Liquid fuels,Fuel oil,,Volume,litres,litres,kg CO2,Fuel oil litres,3.17133
171,Scope 1,Fuels,Liquid fuels,Fuel oil,,Volume,litres,litres,kg N2O,Fuel oil litres,0.00771
172,Scope 1,Fuels,Liquid fuels,Fuel oil,,Tonnes,tonnes,tonnes,kg CO2e,Fuel oil tonnes,3221.37
173,Scope 1,Fuels,Liquid fuels,Fuel oil,,Tonnes,tonnes,tonnes,kg CH4,Fuel oil tonnes,4.18
174,Scope 1,Fuels,Liquid fuels,Fuel oil,,Tonnes,tonnes,tonnes,kg CO2,Fuel oil tonnes,3209.38
175,Scope 1,Fuels,Liquid fuels,Fuel oil,,Tonnes,tonnes,tonnes,kg N2O,Fuel oil tonnes,7.81
176,Scope 1,Fuels,Liquid fuels,Gas oil,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Gas oil kWh (Gross CV),0.25672
177,Scope 1,Fuels,Liquid fuels,Gas oil,,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,Gas oil kWh (Gross CV),0.00026
178,Scope 1,Fuels,Liquid fuels,Gas oil,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,Gas oil kWh (Gross CV),0.25359
179,Scope 1,Fuels,Liquid fuels,Gas oil,,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,Gas oil kWh (Gross CV),0.00286
180,Scope 1,Fuels,Liquid fuels,Gas oil,,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Gas oil kWh (Net CV),0.2731
181,Scope 1,Fuels,Liquid fuels,Gas oil,,Energy - Net CV,kWh,kWh (Net CV),kg CH4,Gas oil kWh (Net CV),0.00028
182,Scope 1,Fuels,Liquid fuels,Gas oil,,Energy - Net CV,kWh,kWh (Net CV),kg CO2,Gas oil kWh (Net CV),0.26978
183,Scope 1,Fuels,Liquid fuels,Gas oil,,Energy - Net CV,kWh,kWh (Net CV),kg N2O,Gas oil kWh (Net CV),0.00305
184,Scope 1,Fuels,Liquid fuels,Gas oil,,Volume,litres,litres,kg CO2e,Gas oil litres,2.75776
185,Scope 1,Fuels,Liquid fuels,Gas oil,,Volume,litres,litres,kg CH4,Gas oil litres,0.00282
186,Scope 1,Fuels,Liquid fuels,Gas oil,,Volume,litres,litres,kg CO2,Gas oil litres,2.72417
187,Scope 1,Fuels,Liquid fuels,Gas oil,,Volume,litres,litres,kg N2O,Gas oil litres,0.03077
188,Scope 1,Fuels,Liquid fuels,Gas oil,,Tonnes,tonnes,tonnes,kg CO2e,Gas oil tonnes,3229.34
